obec_kod;obec;okres_kod;okres;kraj_kod;kraj;vymera;krajina;krajina_kod;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE;LAU2;LAU2_CODE;latitude;longitude
521841;Opiná;806;Košice - okolie;8;Košický;12065699;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Košice - okolie;SK0426;Opiná;SK0426521841;48.86711984999999;21.42908327267486
556491;Opoj;207;Trnava;2;Trnavský;4616119;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Trnava;SK0217;Opoj;SK0217556491;48.30631565;17.63829009876869
505285;Oponice;406;Topoľčany;4;Nitriansky;12279705;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Topoľčany;SK0236;Oponice;SK0236505285;48.458903;18.1435862543316
508837;Oravce;601;Banská Bystrica;6;Banskobystrický;4722185;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Oravce;SK0321508837;48.6902458;19.2600149743672
515248;Orávka;609;Rimavská Sobota;6;Banskobystrický;7185756;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Rimavská Sobota;SK0329;Orávka;SK0329515248;48.31484075;20.19271633039076
509892;Oravská Jasenica;507;Námestovo;5;Žilinský;23683509;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Námestovo;SK0317;Oravská Jasenica;SK0317509892;49.4170157;19.42047790498072
509906;Oravská Lesná;507;Námestovo;5;Žilinský;65628249;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Námestovo;SK0317;Oravská Lesná;SK0317509906;49.3634261;19.20748984881236
509914;Oravská Polhora;507;Námestovo;5;Žilinský;84518647;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Námestovo;SK0317;Oravská Polhora;SK0317509914;49.5565351;19.45028726715968
509922;Oravská Poruba;503;Dolný Kubín;5;Žilinský;13258418;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Dolný Kubín;SK0313;Oravská Poruba;SK0313509922;49.18684915;19.26190049604979
509931;Oravské Veselé;507;Námestovo;5;Žilinský;41210468;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Námestovo;SK0317;Oravské Veselé;SK0317509931;49.4845569;19.37678182076657
509949;Oravský Biely Potok;510;Tvrdošín;5;Žilinský;18447435;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Tvrdošín;SK031A;Oravský Biely Potok;SK031A509949;49.2712655;19.56090449876039
